Venue Name,Venue Location,Price per Plate
Cochin Residency,"Kalamassery, Kochi",200 - 480
Beith Hotel - Banquet Hall,"Kalamassery, Kochi",413 - 472
Seapark,"Kalamassery, Kochi",236 - 354
The Crescent suites,"Kalamassery, Kochi","25,000"
Chakolas Pavilion Event Centre,"Kalamassery, Kochi",1018 - 1217
Zamra International Convention And Exhibition Centre,"Kalamassery, Kochi",On Request
Nihara Resort,"Kalamassery, Kochi",On Request
Play To Win Convention Centre,"Kalamassery, Kochi",On Request
Lion Community Hall,"Kalamassery, Kochi","15,003"
Njalakam Jama Ath Convention Center,"Kalamassery, Kochi",2
Prince Hotel,"Kalamassery, Kochi","25,000"
Convensia Convention Centre Mini Hall,"Kalamassery, Kochi","25,000"
St Joseph Church Parish Hall,"Kalamassery, Kochi","51,600"
