Venue Name,Venue Location,Price per Plate
MF Banquet Hall AC,"Toli Chowki, Hyderabad","35,000"
Bandhan Convention Hall,"Toli Chowki, Hyderabad",600 - 750
K K Function hall,"Toli Chowki, Hyderabad","1,00,000"
