Venue Name,Venue Location,Price per Plate
Manisha Banquet Lawn,"Kalwa, Mumbai",550 - 750
Amit Garden Lawn,"Kalwa, Mumbai",750 - 950
Siddhi banquets,"Kalwa, Mumbai",On Request
