Venue Name,Venue Location,Price per Plate
Surya Grand Jashan,"Rajouri Garden, Delhi Ncr",1000 - 1200
Parampara Banquet,"Rajouri Garden, Delhi Ncr",605 - 805
The Grand Western,"Rajouri Garden, Delhi Ncr",800 - 900
Kawatra Tents,"Rajouri Garden, Delhi Ncr",800 - 900
