Venue Name,Venue Location,Price per Plate
Raghavendra Mandapam,"Kodambakkam, Chennai","4,00,000"
Hotel Nayagara,"Kodambakkam, Chennai",450 - 570
Brownstar Boutique Hotel,"Kodambakkam, Chennai",650 - 750
MSV Hall,"Kodambakkam, Chennai","30,000"
Naveen Raj Mini Hall,"Kodambakkam, Chennai","40,000"
