Venue Name,Venue Location,Price per Plate
T Grills,"Madhapur, Hyderabad",350 - 450
The Kidz Land,"Madhapur, Hyderabad",750 - 900
Jungle Bay,"Madhapur, Hyderabad",650 - 850
The Jump Zone,"Madhapur, Hyderabad",575 - 750
Hotel Halcyon Suites,"Madhapur, Hyderabad",400 - 570
Old Street Banquet Hall,"Madhapur, Hyderabad",800 - 1000
Lemon Tree Premier,"Madhapur, Hyderabad",2000 - 2200
SB Palace,"Madhapur, Hyderabad",1500 - 2000
Image Sesha Hall,"Madhapur, Hyderabad",300 - 350
Viyyalavaari Vindu,"Madhapur, Hyderabad",1000 - 1000
M Banquet Hall 1,"Madhapur, Hyderabad",550 - 650
Blue Fox Restaurant,"Madhapur, Hyderabad",568 - 768
Butta Convention,"Madhapur, Hyderabad","5,12,000"
N Convention-Diamond,"Madhapur, Hyderabad",On Request
Avasa Hotel Constellation Banquet Hall,"Madhapur, Hyderabad",1829 - 2065
MV CONVENTION HALL,"Madhapur, Hyderabad","70,000"
sathapadi Lan,"Madhapur, Hyderabad",On Request
Rajasthan Restaurant Mini Hall,"Madhapur, Hyderabad","25,000"
