Venue Name,Venue Location,Price per Plate
Kammeta Greens,"Chevella, Hyderabad","1,50,000"
Spoorthy Banquet Hall,"Chevella, Hyderabad",On Request
Sri Venkateswara Gardens,"Chevella, Hyderabad","60,000"
Kammeta Greens Lawn,"Chevella, Hyderabad","60,000"
