Venue Name,Venue Location,Price per Plate
Hotel Ajantha,"Mg Road, Bangalore",405
Royal Orchid Central Orange County,"Mg Road, Bangalore",1155 - 1260
The Grand Magrath Crystal Ball room,"Mg Road, Bangalore",1522 - 1522
IRIS The Business Hotel Concorde Hall,"Mg Road, Bangalore",885 - 1003
Royal Orchid Hotels,"Mg Road, Bangalore",1155 - 1260
Coral Conference Hall In Hotel Paraag,"Mg Road, Bangalore",649 - 708
The Park Bangalore Aqua,"Mg Road, Bangalore",300 - 400
Hotel Ramanashree Brunton Senate Hall,"Mg Road, Bangalore",577 - 682
Vasudev Adigas Party Hall,"Mg Road, Bangalore",400
Shiv Sagar Party Hall,"Mg Road, Bangalore",600
Hamilton By St Marks Hotel,"Mg Road, Bangalore",1005 - 1005
Canopy Restaurant,"Mg Road, Bangalore",668 - 768
Ajantha Hotel,"Mg Road, Bangalore",450 - 450
Balaji Kalyana Mantapa,"Mg Road, Bangalore","35,018"
Galaxy Conventional Hall,"Mg Road, Bangalore","36,000"
