Venue Name,Venue Location,Price per Plate
Sumukha Function Hall,"Kuvempu Nagar, Mysore","27,75,018"
Suvarna Residency,"Kuvempu Nagar, Mysore",850 - 950
S L V Functional Hall,"Kuvempu Nagar, Mysore",750 - 950
Asha Prakash Shetty Bunts Convention Hall,"Kuvempu Nagar, Mysore","2,00,000"
Sridham Community Hall,"Kuvempu Nagar, Mysore","80,000"
SLV Function Hall,"Kuvempu Nagar, Mysore","16,000"
Samrat Kalyan Bhavan,"Kuvempu Nagar, Mysore","1,03,000"
Jayamma Govindegowda Kalyana Mantapa,"Kuvempu Nagar, Mysore","1,80,000"
Chikkamma Nikethana Kalyana Mantapa,"Kuvempu Nagar, Mysore","80,000"
Bandantamma Kalamma Samudaya Bhavana,"Kuvempu Nagar, Mysore","1,00,000"
