Venue Name,Venue Location,Price per Plate
Imperial Banquets Hall,"Pune, Pune",1200 - 1300
Niwruti Lawns,"Pune, Pune","50,000"
Shree Laxmi Lawns,"Pune, Pune","2,00,000"
Pandhari Lawns,"Pune, Pune","50,000"
Anjali Mangal Karyalay,"Pune, Pune","1,50,000"
