Venue Name,Venue Location,Price per Plate
Deers Creek Farm House And Resorts,"Secunderabad, Hyderabad","80,000"
Sai Nimantran Function Hall,"Secunderabad, Hyderabad","1,20,000"
MMR Gardens,"Secunderabad, Hyderabad","1,00,000"
Arya Vysya Abhyudaya Sangam,"Secunderabad, Hyderabad","2,00,000"
Rail Kalarang Functional Hall,"Secunderabad, Hyderabad","80,000"
Hotel Swagath Grand Galaxy hall,"Secunderabad, Hyderabad",501 - 619
Balaji Hotels,"Secunderabad, Hyderabad",400 - 500
RK Convention Banquet Hall,"Secunderabad, Hyderabad",500 - 600
Royal Reve Banquet Hall,"Secunderabad, Hyderabad",650 - 750
Amogh Banquets,"Secunderabad, Hyderabad",668 - 768
Minerva Grand Secunderabad,"Secunderabad, Hyderabad",550 - 650
Taj Tristar Banquet Capital Lobby,"Secunderabad, Hyderabad",560
VRR Banquet And Convention Hall 1,"Secunderabad, Hyderabad",350 - 450
Dakshin Indian Bistro,"Secunderabad, Hyderabad",250 - 350
VNR Gardens,"Secunderabad, Hyderabad",1500 - 2500
HMT Bearings Community Function Hall,"Secunderabad, Hyderabad",1500 - 2000
Royal Reve Hotel,"Secunderabad, Hyderabad",600 - 800
NVR Hotels & Banquets,"Secunderabad, Hyderabad",650 - 800
Grand Convention Hall,"Secunderabad, Hyderabad","25,000"
Aahar Restaurant Banquet Hall,"Secunderabad, Hyderabad","70,000"
Wayside Function Hall,"Secunderabad, Hyderabad","30,000"
Pink Pearl Function Hall,"Secunderabad, Hyderabad","1,20,000"
Philomena Function Hall,"Secunderabad, Hyderabad","1,50,000"
The Coral Banquet,"Secunderabad, Hyderabad","1,00,000"
