Venue Name,Venue Location,Price per Plate
Kakade Palace,"Karve Nagar, Pune",320
Ranades Magenta Suryananda Lawns,"Karve Nagar, Pune",850 - 1000
Vedant Mangalam Karve Nagar,"Karve Nagar, Pune",800
The Chandralok Kitchen Bar Banquet,"Karve Nagar, Pune",850 - 950
Shailesh Banquet Hall,"Karve Nagar, Pune",750 - 850
Suryananda lawns,"Karve Nagar, Pune",800 - 1200
Vedant Mangalam Hall,"Karve Nagar, Pune",850
Orchid Banquet,"Karve Nagar, Pune",649
Pratidnya Hall,"Karve Nagar, Pune",280
Ranade's Magenta Lawns,"Karve Nagar, Pune",450
AMBAR HALL,"Karve Nagar, Pune","90,000"
Rajendra Van Lawns,"Karve Nagar, Pune","30,000"
Mahalaxmi Lawns,"Karve Nagar, Pune","1,50,000"
Narayani Lawns,"Karve Nagar, Pune","2,00,000"
Keshavbaug,"Karve Nagar, Pune",800 - 1000
