Venue Name,Venue Location,Price per Plate
Garden Hotel,"Panvel, Mumbai",450 - 550
Shree Krupa Banquet,"Panvel, Mumbai",300 - 300
Sansmaran Fine Dine,"Panvel, Mumbai",500 - 700
Hotel Khandesh Banquet,"Panvel, Mumbai",400 - 400
Hotel Panchratna,"Panvel, Mumbai",500 - 500
Tithee Banquets,"Panvel, Mumbai",800 - 950
Sindhi Panchayat Banquet Hall,"Panvel, Mumbai",500 - 500
Shri Balaji Banquet,"Panvel, Mumbai",400 - 400
Crown Banquet Hall,"Panvel, Mumbai",618 - 718
Bellezza Banquet Hall,"Panvel, Mumbai",768 - 1018
Gayatri Utsav Banquet Hall,"Panvel, Mumbai",318
Atlantic Banquets,"Panvel, Mumbai",900 - 1050
Shrusti Farms,"Panvel, Mumbai",950 - 1100
Sfruti Farms,"Panvel, Mumbai",700 - 900
Pruthvi,"Panvel, Mumbai",600 - 600
Treebo Trend Kana Palace,"Panvel, Mumbai",600 - 700
Chandan Lawns,"Panvel, Mumbai",400 - 400
Pushp Vatika Resort Lawn 5,"Panvel, Mumbai","1,50,018"
Mahatma Jotiba Phule Sabhagrah Hall,"Panvel, Mumbai",350 - 450
"Yakub Sheth Hall, Panvel","Panvel, Mumbai",450 - 550
Riddhi Marriage And Party Hall,"Panvel, Mumbai",500 - 500
Gokhale Sabhagruha And Mangal karyalaya Panvel,"Panvel, Mumbai",238
Ashoka Lawn,"Panvel, Mumbai",500 - 500
Hotel Kshanbhar Vishranti,"Panvel, Mumbai",500 - 500
