Venue Name,Venue Location,Price per Plate
Symphony Beach View Restaurant,"Balaji Nagar, Visakhapatnam",750 - 950
Vivana Subham Function Hall,"Balaji Nagar, Visakhapatnam",550 - 750
Mantris Hotel Emerald,"Balaji Nagar, Visakhapatnam",250 - 350
Sri Vasavi Kalyana Mandapam,"Balaji Nagar, Visakhapatnam","70,000"
