Venue Name,Venue Location,Price per Plate
Sri Dhathri Celebrations Hall,"Tadigadapa, Vijayawada","25,000"
Karthik Mini Function Hall,"Tadigadapa, Vijayawada","10,000"
Anne Vari Kalyana Mandapam,"Tadigadapa, Vijayawada","2,00,000"
