Venue Name,Venue Location,Price per Plate
Silver Petals Banquet,"Karkardooma, Delhi",600 - 600
La Cordiall,"Karkardooma, Delhi","1,200"
New Pindi Tent and Caterers,"Karkardooma, Delhi",1200 - 1400
Ideal Palace,"Karkardooma, Delhi","1,000"
Woodapple Residency,"Karkardooma, Delhi",899 - 1099
ACE Residency,"Karkardooma, Delhi",1000 - 1500
Hotel White Klove Comfort,"Karkardooma, Delhi",400 - 2000
Krishna Cottage Hall,"Karkardooma, Delhi","1,018"
CBD Ground Shahdara,"Karkardooma, Delhi",1000 - 1300
Gurmeet's Banquets,"Karkardooma, Delhi",1200 - 1500
Amor Banquet,"Karkardooma, Delhi",1518 - 18
Silver Petals Banquet Hall,"Karkardooma, Delhi",950
Krsna Cottage,"Karkardooma, Delhi","60,000"
Rajkamal Banquet Hall,"Karkardooma, Delhi","2,30,000"
