Venue Name,Venue Location,Price per Plate
AR Function Palace,"Kavadiguda, Hyderabad","35,000"
Lake View Hotel Platinum Hall,"Kavadiguda, Hyderabad","50,000"
Expotel Hotel,"Kavadiguda, Hyderabad","2,00,000"
Gangaputra Function Hall,"Kavadiguda, Hyderabad","70,000"
