Venue Name,Venue Location,Price per Plate
Alamelu Kalyani Mahal,"Maduravoyal, Chennai","1,00,000"
Bethel Party Hall,"Maduravoyal, Chennai","30,000"
K R S Choda Maha,"Maduravoyal, Chennai",600 - 800
SPP Gardens Ficus Lawn,"Maduravoyal, Chennai","1,45,018"
SV Mahal,"Maduravoyal, Chennai","1,40,000"
C V Mini Hall,"Maduravoyal, Chennai","20,000"
