Venue Name,Venue Location,Price per Plate
SVS And VVK Function Hall,"Punadipadu, Vijayawada","25,000"
N Hotel Banquet Hall,"Punadipadu, Vijayawada","15,000"
Kanakamedala Gardens Function Hall,"Punadipadu, Vijayawada","1,00,000"
