Venue Name,Venue Location,Price per Plate
Hotel Parc Estique,"Viman Nagar, Pune",350 - 500
Four Points by Sheraton Hotels,"Viman Nagar, Pune",1500 - 1600
HOTEL HINDUSTAN INTERNATIONAL,"Viman Nagar, Pune",900 - 1000
ATMOSPHERE SIX,"Viman Nagar, Pune",808 - 1199
Aura Multicuisine Banquet,"Viman Nagar, Pune",850
Roofdine Banquet,"Viman Nagar, Pune",500 - 600
Roofdine (Legacy) Restaurant & Banquets,"Viman Nagar, Pune",550 - 700
Easystayy Villa & Party Lawn,"Viman Nagar, Pune",800 - 1000
Aura Banquets Hall,"Viman Nagar, Pune",750 - 850
The Hotel Hindustan International,"Viman Nagar, Pune",650
Regency Ballroom,"Viman Nagar, Pune",850
Hyatt Regency Pune & Residences,"Viman Nagar, Pune",850 - 950
BACKSTAGE LOUNGE AND BAR,"Viman Nagar, Pune","90,000"
Magnus Square,"Viman Nagar, Pune","25,000"
