Venue Name,Venue Location,Price per Plate
Sri Sowdeshwari Mahal,"Ammapet, Salem","45,000"
Sri Rajeshwari Sengunthar Muthaliyar Kalyana Mandapam,"Ammapet, Salem","28,000"
