Venue Name,Venue Location,Price per Plate
Sri Jaya Function Hall,"Adarsh Nagar, Visakhapatnam","75,000"
Shri Laxmi Narayana Function Hall,"Adarsh Nagar, Visakhapatnam","45,000"
