Venue Name,Venue Location,Price per Plate
Anand Marriage Hall,"Ulhasnagar 1, Mumbai",800 - 800
Radhe Krishna The Grand Banquet Hall,"Ulhasnagar 1, Mumbai",850 - 950
Regency Garden Marriage Lawns,"Ulhasnagar 1, Mumbai","15,000"
