Venue Name,Venue Location,Price per Plate
Hotel Paradise,"Brindavan Extension, Mysore",325 - 325
Basant Convention Centre,"Brindavan Extension, Mysore","85,018"
Kempegowda Memorial Hall,"Brindavan Extension, Mysore","1,35,000"
TS Convention Hall,"Brindavan Extension, Mysore","1,15,018"
