Venue Name,Venue Location,Price per Plate
TGI Star Holiday Resort,"Yercaud, Salem",768 - 1218
Hotel ACK Palace Inn,"Yercaud, Salem",768 - 1250
SS Silver Oaks Resort,"Yercaud, Salem",750
Sri Venkateswara Thirumana Mandapam,"Yercaud, Salem","65,000"
Sulochana Arjunan Marriage Hall,"Yercaud, Salem","45,000"
