Venue Name,Venue Location,Price per Plate
Prasanna Multipurpose Hall,"Nalasopara East, Mumbai",418
Joshi Party Hall,"Nalasopara East, Mumbai",605
Damodar Marriage Hall,"Nalasopara East, Mumbai",280
Ruby Banquets,"Nalasopara East, Mumbai",650 - 800
Vedant Hall,"Nalasopara East, Mumbai",300 - 400
Balaji Mangal Karyalay Hall,"Nalasopara East, Mumbai",550 - 750
Hemali Hall,"Nalasopara East, Mumbai",350 - 450
Royal Treat AC Banquet,"Nalasopara East, Mumbai",750
"Sheetal Samudra Mini Goa Resort, Mumbai","Nalasopara East, Mumbai",350 - 550
"Sheetal Samudra Mini Resort, Goa","Nalasopara East, Mumbai",350 - 450
Hemali Banquet Hall,"Nalasopara East, Mumbai","65,000"
Mahadev Garden hall,"Nalasopara East, Mumbai","45,000"
