Venue Name,Venue Location,Price per Plate
By The Way Restaurant Mysore,"Hebbal Layout, Mysore",468 - 518
Sri Krishna Sabha Bhavana,"Hebbal Layout, Mysore",750 - 900
Kaveri Palace Function hall,"Hebbal Layout, Mysore",850 - 950
Shubodini Convention Centre,"Hebbal Layout, Mysore","15,000"
CITB Choultry Convention Centre,"Hebbal Layout, Mysore","1,30,000"
