Venue Name,Venue Location,Price per Plate
Party Hall By Thumbay Comforts,"Doddamavalli, Bangalore",600 - 1000
Renuka Kalyana Mandira,"Doddamavalli, Bangalore","75,018"
MM Convention Hall,"Doddamavalli, Bangalore","85,000"
Saiacs,"Doddamavalli, Bangalore","50,000"
Maramma Devi Kalyana Bhavan,"Doddamavalli, Bangalore","80,000"
