Venue Name,Venue Location,Price per Plate
Jai Tulja Bhavani Mangal,"Hadapsar, Pune",850
Symphony Banquet Hall,"Hadapsar, Pune",500
Garden Gate,"Hadapsar, Pune",550 - 550
Times Square AC Restaurant & Banquet Hall,"Hadapsar, Pune",650 - 750
Jakson Inns Banquet Hall,"Hadapsar, Pune",500 - 600
The Hub Banquet Spaces,"Hadapsar, Pune",650 - 750
Messe Global Pune Laxmi Lawns,"Hadapsar, Pune",1000 - 1500
Teri Tree Restaurant,"Hadapsar, Pune",900 - 950
Annapurna Party Hall,"Hadapsar, Pune",450
Kokkita Restaurant and Bar,"Hadapsar, Pune",750 - 850
Aashiyana Hall,"Hadapsar, Pune",750 - 850
Kanyadaan Mangal Karyalay,"Hadapsar, Pune",750 - 850
Welcome Hall,"Hadapsar, Pune",750 - 850
Aarnah Banquet,"Hadapsar, Pune",1600 - 2000
Vighnaharta Mangal Karyalaya,"Hadapsar, Pune",400 - 600
Kanyadan Mangal Karaylay,"Hadapsar, Pune",600 - 800
"JM Banquet Hall, Hadapsar","Hadapsar, Pune",600 - 800
Krushna Lila Gadhi,"Hadapsar, Pune",600 - 800
Pratham Vishwa Lawns,"Hadapsar, Pune",750 - 950
Occasion Lawn,"Hadapsar, Pune",750 - 950
Sachin Mangal Kendra,"Hadapsar, Pune",750 - 900
Nia Urban Farms Pune,"Hadapsar, Pune",800 - 1000
Asodit Banquets,"Hadapsar, Pune","1,200"
Fort Jadhavgadh Hotel,"Hadapsar, Pune","1,50,000"
