Venue Name,Venue Location,Price per Plate
Stun the Sun,"Park Street, Kolkata",850 - 1050
Park Plaza,"Park Street, Kolkata",450 - 650
Hotel Crestwood,"Park Street, Kolkata",850 - 950
Ibrah Feast,"Park Street, Kolkata",850 - 950
Middleton Chambers Banquet,"Park Street, Kolkata",1250 - 1350
The Lords and Barons Hall,"Park Street, Kolkata",450 - 550
Hotel Kempton Hall,"Park Street, Kolkata",700 - 900
Ordnance Club,"Park Street, Kolkata",1200 - 1200
SilverKey Executive Stays,"Park Street, Kolkata",800
Galleria Ballroom,"Park Street, Kolkata",1200 - 1200
Hotel Royal Garden,"Park Street, Kolkata",550 - 650
Ibrah Banquet,"Park Street, Kolkata",800 - 1000
Kharimati Resort,"Park Street, Kolkata","90,000"
