Venue Name,Venue Location,Price per Plate
Panchavati The Pavilion,"Kothanur, Bangalore",468 - 618
Sri Nanjundeshwara Kalyana Mantapa,"Kothanur, Bangalore",On Request
Haripriya Convention Center,"Kothanur, Bangalore","1,29,018"
Balan Farm Convention Center,"Kothanur, Bangalore","55,018"
AJ TAJ Palace Shadi Mahal Kolar,"Kothanur, Bangalore","65,018"
Keerthi Convention Hall,"Kothanur, Bangalore","95,018"
Ferns Residency,"Kothanur, Bangalore","18,000"
Shubha Mangala Function Hall Gardens,"Kothanur, Bangalore","90,000"
