Venue Name,Venue Location,Price per Plate
SR Royal Kingdom Banquet Hall,"Shalimar Bagh, Delhi Ncr","1,200"
Gola Banquets,"Shalimar Bagh, Delhi Ncr",600 - 600
Rajkamal Banquets,"Shalimar Bagh, Delhi Ncr","2,10,000"
Gola Banquets,"Shalimar Bagh, Delhi Ncr","1,30,000"
