Venue Name,Venue Location,Price per Plate
Sukh Sagar Hotel Hall,"Gandhi Nagar, Bangalore",450
Hotel sovereign grand,"Gandhi Nagar, Bangalore",531 - 618
Himalaya by monarch everest hall,"Gandhi Nagar, Bangalore",577 - 892
Hotel CRN canary sapphire senate banquet hall,"Gandhi Nagar, Bangalore",525 - 630
Akshaya Aura Atlantus Hall 1,"Gandhi Nagar, Bangalore",826 - 826
Silverstar Hotel Silver Pearl,"Gandhi Nagar, Bangalore",650
Hotel UT Elegance Board Room,"Gandhi Nagar, Bangalore",708 - 885
Hotel Maurya Tulip Hall,"Gandhi Nagar, Bangalore",472 - 767
Meridian Party Hall,"Gandhi Nagar, Bangalore","21,000"
Hotel Rajmahal,"Gandhi Nagar, Bangalore",568
Rajkumar International Hotel Banquet Hall,"Gandhi Nagar, Bangalore",500 - 600
Syed Convention Hall,"Gandhi Nagar, Bangalore",599 - 799
Sri Gururaja Kalyana Mantapa Hall,"Gandhi Nagar, Bangalore",400
Akshata Party Hall,"Gandhi Nagar, Bangalore",500 - 700
Akshaya Aura Hotel Hall,"Gandhi Nagar, Bangalore",500 - 650
Shree Adiga Residency Hall,"Gandhi Nagar, Bangalore",350
Basant Residency Hall,"Gandhi Nagar, Bangalore",650 - 750
The Rialto Hotel Glitter Room,"Gandhi Nagar, Bangalore",682 - 787
Hotel Palladium Hall,"Gandhi Nagar, Bangalore",450 - 550
The Rialto Hotel Hall,"Gandhi Nagar, Bangalore",750 - 850
Grand Inn Hall,"Gandhi Nagar, Bangalore",450 - 550
The Kanishka Grand Hall,"Gandhi Nagar, Bangalore",650 - 750
Hotel Chetan International Hall,"Gandhi Nagar, Bangalore",250 - 350
Pai Vinod Deluxe Hall,"Gandhi Nagar, Bangalore",350 - 550
