Venue Name,Venue Location,Price per Plate
Raga Banquet Hall,"Sanjay Nagar, Bangalore",325
Raga Banquet Hall,"Sanjay Nagar, Bangalore",750 - 850
AS Convention Hall,"Sanjay Nagar, Bangalore","30,000"
