Venue Name,Venue Location,Price per Plate
Vizag Conventions,"Pothinamallayya Palem, Visakhapatnam",1200 - 1350
Sree Vaibhav Banquet Hall,"Pothinamallayya Palem, Visakhapatnam","55,000"
