Venue Name,Venue Location,Price per Plate
Draupada Lawn,"Wakad, Pune",800 - 1200
Sayaji Hotel Pune,"Wakad, Pune",1450 - 1590
Bird Valley,"Wakad, Pune",500 - 700
Sentosa Resorts Pvt Ltd,"Wakad, Pune",1000 - 1200
Ginger Pune Wakad,"Wakad, Pune",750 - 850
Sanctuary Banquets,"Wakad, Pune",750 - 850
"Banquets in Wakad,","Wakad, Pune",850 - 950
Belleza Party Lawn,"Wakad, Pune",950
"Club 29, Wakad,","Wakad, Pune",800 - 1000
HOTEL AMBIENCE EXCELLENCE,"Wakad, Pune","8,00,000"
Darekarwada,"Wakad, Pune","1,000"
Raghav Lawns,"Wakad, Pune",750
PRESTIGE BANQUET HALL,"Wakad, Pune","1,25,000"
MASTIFF HOTEL,"Wakad, Pune","80,000"
