Venue Name,Venue Location,Price per Plate
Shanders Dwellington,"Electronic City, Bangalore","1,75,000"
Sai vishram Aiciri,"Electronic City, Bangalore",630 - 840
Radha Regent Banquet Hall,"Electronic City, Bangalore",577 - 682
Span Suites Rose Prime,"Electronic City, Bangalore",472 - 628
Millennium Plaza Party Hall,"Electronic City, Bangalore",367 - 472
The Oterra Hotel,"Electronic City, Bangalore",1468 - 1468
Lake Views Resort,"Electronic City, Bangalore",468 - 618
Seasons Banquet Hall,"Electronic City, Bangalore",388 - 525
Coorg Swarnabhoomi Event Venue,"Electronic City, Bangalore",1200 - 1800
Svenska Design Mesa Cafe,"Electronic City, Bangalore",603 - 630
Sri Matha Sagar Party Hall,"Electronic City, Bangalore",294
New Udupi Palace,"Electronic City, Bangalore",472 - 531
Village Restaurant Party Hall Electronic City,"Electronic City, Bangalore",472 - 602
Vinaya Royal Inn,"Electronic City, Bangalore",473 - 578
Starlit Suites,"Electronic City, Bangalore",405 - 505
Thalassery Party Hall,"Electronic City, Bangalore",405 - 455
HOTEL PRESIDENCY,"Electronic City, Bangalore",605 - 705
Happy Home Resort Open Ground,"Electronic City, Bangalore",418 - 418
Xplore Resort,"Electronic City, Bangalore",750 - 950
White Feather Convention Center,"Electronic City, Bangalore",900 - 1100
Seasons Restaurant Mini Hall,"Electronic City, Bangalore",450 - 550
White feather,"Electronic City, Bangalore","6,03,000"
Span Convention Hall,"Electronic City, Bangalore",550 - 750
Subh Wedding Hall & Lawn,"Electronic City, Bangalore",750
