Venue Name,Venue Location,Price per Plate
Shri Hari Party Hall,"Korattur, Chennai","40,000"
Shri Hari MarriageHall,"Korattur, Chennai",550 - 600
B8 Hotels and Resorts,"Korattur, Chennai",1295 - 1480
