Venue Name,Venue Location,Price per Plate
Imperia Banquets by Rumao Caterers,"Vasai West, Mumbai",350
Prem Vatika Open Ground,"Vasai West, Mumbai",600 - 800
Aditya Fine Dine,"Vasai West, Mumbai",400 - 400
Sunrise Hall,"Vasai West, Mumbai",400 - 400
Rajhans AC Banquet Hall,"Vasai West, Mumbai","1,000"
Vishwakarma Hall Vasai,"Vasai West, Mumbai",250
Hotel Galaxy Residency,"Vasai West, Mumbai",400 - 400
DC Club,"Vasai West, Mumbai",400 - 400
Swarna Banquet Hall,"Vasai West, Mumbai",400
The Royal Club Banquet Hall,"Vasai West, Mumbai",400
Sheefali Banquet,"Vasai West, Mumbai",500 - 600
The XYST Hillside Garden Lawn,"Vasai West, Mumbai","35,000"
Sanghavi Banquet Hall,"Vasai West, Mumbai",350 - 450
Sogno Banquets,"Vasai West, Mumbai",400
Rajhans Banquets & Party Lawn,"Vasai West, Mumbai","75,000"
