Venue Name,Venue Location,Price per Plate
Hotel Crest Inn,"Park Circus, Kolkata",900 - 1200
Amropali Function Hall,"Park Circus, Kolkata",350 - 450
Park Prime Kolkata Hall,"Park Circus, Kolkata",1000 - 1200
Hotel Ivory Inn,"Park Circus, Kolkata",800 - 900
Khan Guest House,"Park Circus, Kolkata",800 - 900
Shivnath Bhawan Hall,"Park Circus, Kolkata",450 - 550
The Senator Hotel,"Park Circus, Kolkata",850 - 950
Dewa Newa Villa Hall,"Park Circus, Kolkata",550 - 650
Spangle Wings Resort Lawn,"Park Circus, Kolkata","40,000"
