Venue Name,Venue Location,Price per Plate
M Convention,"Ramavarappadu, Vijayawada",450 - 500
M Convention Center,"Ramavarappadu, Vijayawada","6,20,000"
Hotel Devs Inn Banquet Hall,"Ramavarappadu, Vijayawada",450 - 550
Sai Jewel Convention Centre,"Ramavarappadu, Vijayawada","97,018"
Subham Kalyan Vedika,"Ramavarappadu, Vijayawada","3,25,000"
