Venue Name,Venue Location,Price per Plate
Aquatica Banquet Resort and Water Park,"New Town, Kolkata",1000 - 1400
Pipal Tree Hotel,"New Town, Kolkata",800 - 800
Vinayak Gold Banquets,"New Town, Kolkata",817 - 917
Moli Banquets,"New Town, Kolkata",450 - 500
Sonar Tori Community Hall,"New Town, Kolkata",700 - 900
Club Ecohub,"New Town, Kolkata",918 - 1018
Habitat Banquets,"New Town, Kolkata",500 - 600
Calcutta Boating Hotel Resorts,"New Town, Kolkata",1000 - 1200
IBIZA Resort and Spa,"New Town, Kolkata",1400 - 1800
Smriti Banquets And Lawn,"New Town, Kolkata",618 - 718
Basera Banquets,"New Town, Kolkata",1800 - 1800
Mayuri Banquet Hall,"New Town, Kolkata",750 - 750
Sri Banwarilal Jaipuria Hall,"New Town, Kolkata",450 - 550
Treebo Tryst Dee Empresa Hall 1,"New Town, Kolkata",450 - 650
Hotel UCS Hall,"New Town, Kolkata",700 - 800
Modakam Banquet Hall,"New Town, Kolkata",1500 - 2000
NKDA Community Centre,"New Town, Kolkata",650 - 750
Digha Saikatabas,"New Town, Kolkata",800 - 1000
Fairfield by Marriott Kolkata,"New Town, Kolkata",1200 - 1800
SK Banquet,"New Town, Kolkata","85,000"
Shree Gopal Banquets,"New Town, Kolkata",700 - 700
JMS Villa Hall 1,"New Town, Kolkata",850 - 950
Lemon Tree Premier,"New Town, Kolkata",850 - 950
Swayamvar Banquet Hall,"New Town, Kolkata",800 - 1000
