Venue Name,Venue Location,Price per Plate
Darshan Marriage Hall,"Kalyan, Mumbai",350
Indigo Restaurant And Banquet,"Kalyan, Mumbai",700 - 800
Ceremony Banquets Hall 1,"Kalyan, Mumbai",500
Kalidas hall,"Kalyan, Mumbai",518
Red Chilly Hotel Hall,"Kalyan, Mumbai",600 - 800
Hotel Sagar International,"Kalyan, Mumbai",550 - 650
KD Residency,"Kalyan, Mumbai",500 - 650
Aai Tisai Marriage Hall,"Kalyan, Mumbai",650 - 850
Solitaire Banquets,"Kalyan, Mumbai",850
Palms Water Resort,"Kalyan, Mumbai",500
Mahavir Banquet Hall,"Kalyan, Mumbai",550
Shree Matoshri Sabhagurh,"Kalyan, Mumbai",350
Samel Mangal Karyalay Banquet Hall,"Kalyan, Mumbai",520 - 1
Laura Resort Dsouza Farm Lawn,"Kalyan, Mumbai",600 - 750
Bhalchandra Dinkar,"Kalyan, Mumbai",500 - 501
Heritage Residency,"Kalyan, Mumbai",700 - 900
Surya Kiran Mangal,"Kalyan, Mumbai",600 - 600
Radha Krishn Banquet,"Kalyan, Mumbai",600 - 600
Mayur Hotel,"Kalyan, Mumbai",600 - 600
Girija Payyade Hotel,"Kalyan, Mumbai",500 - 500
Kamaths Govindashram,"Kalyan, Mumbai",500 - 500
Hotel Gopal Krishna,"Kalyan, Mumbai",600 - 600
Shree Swami Damodaracharya Marriage Hall,"Kalyan, Mumbai",850 - 950
Gloria Banquets Hall,"Kalyan, Mumbai",450 - 450
