Venue Name,Venue Location,Price per Plate
Aayushaman Garden Lawn,"Hari Nagar, Delhi Ncr","90,000"
The Grand Taveran,"Hari Nagar, Delhi Ncr",1 - 1
Golden Tulip Essential,"Hari Nagar, Delhi Ncr",1005 - 1205
Ganpati Hall,"Hari Nagar, Delhi Ncr",700 - 900
Baba Garden,"Hari Nagar, Delhi Ncr",700
Sai Leela Grand,"Hari Nagar, Delhi Ncr","1,200"
