Venue Name,Venue Location,Price per Plate
Euphoria Banquet,"Udyog Nagar, Delhi","1,000"
Landmarx Banquets,"Udyog Nagar, Delhi","1,150"
Orabella Banquets,"Udyog Nagar, Delhi","1,518"
The Host Party Lawns,"Udyog Nagar, Delhi",850 - 1000
Precious Forever Banquet,"Udyog Nagar, Delhi","1,005"
Euphoria Banquets,"Udyog Nagar, Delhi",1 - 1
Symphony Banquet Hall,"Udyog Nagar, Delhi","32,000"
