Venue Name,Venue Location,Price per Plate
KalaGovind Lawns,"Kunjirwadi, Pune",750 - 850
Sangram Hall,"Kunjirwadi, Pune",750 - 85
Kunjir Lawns,"Kunjirwadi, Pune",600 - 800
Green Valley Agro Tourism,"Kunjirwadi, Pune",850
DHANSHREE LAWNS,"Kunjirwadi, Pune","80,000"
Dhanshree Wedding Lawns,"Kunjirwadi, Pune","1,00,000"
