Artist Name,Artist Location,Price
Makeup by Anisha Saif,"Koregaon Park, Pune","22,000"
In style makeovers by neha chanchlani,"Koregaon Park, Pune","15,000"
Makeup Artist Bhavna Chavan,"Koregaon Park, Pune","10,000"
