Artist Name,Artist Location,Price
Makeup Artist Shruti Mulay,"Warje, Pune","6,000"
Sonam Chavan Makeup Artist,"Warje, Pune","10,000"
Pallavi Makeup Artist,"Warje, Pune","15,000"
Ashwini Kadu Makeover,"Warje, Pune","5,000"
Sushma Makeup Artist,"Warje, Pune","10,000"
Bharti Makeup Artist,"Warje, Pune","10,000"
Bhumi Makeover,"Warje, Pune","6,000"
Kajal Makeup,"Warje, Pune","5,000"
Makeup Artist Amruta,"Warje, Pune","7,000"
Makeup Artist Shreya,"Warje, Pune","6,000"
