Artist Name,Artist Location,Price
Musk Makeup,"Fatima Nagar, Pune","8,500"
Rochelle’s Makeup Artistry,"Fatima Nagar, Pune","30,000"
Salon Apple,"Fatima Nagar, Pune","6,000"
