Artist Name,Artist Location,Price
Redefining Beauty,"Antop Hill, Mumbai","10,000"
MUA by Sheba,"Antop Hill, Mumbai","15,000"
Chic by Bhoomi Shah Makeup Artistry,"Antop Hill, Mumbai","20,000"
Yogita Beauty Makeover,"Antop Hill, Mumbai","5,000"
M.S Beauty,"Antop Hill, Mumbai","15,000"
