Artist Name,Artist Location,Price
Aliza Makeup Artist,"Byculla, Mumbai","15,000"
Zeenatkhan Makeovers,"Byculla, Mumbai","8,000"
AB'S Makeup Hair Beauty Academy,"Byculla, Mumbai","12,000"
Makeup by Bushra Husain,"Byculla, Mumbai","8,000"
Creative Makeover Academy,"Byculla, Mumbai","15,000"
Makeup by RK,"Byculla, Mumbai","6,000"
Magical Moment,"Byculla, Mumbai","12,000"
Makeup by Angel Anns,"Byculla, Mumbai","7,000"
Manali Makeover,"Byculla, Mumbai","10,000"
