Planner Name,Planner Location,Price
Heart Of Decor,"Kalkaji, Delhi","50,000"
Vicky Prince Entertainer,"Kalkaji, Delhi","20,00,000"
Concept Weddings,"Kalkaji, Delhi","5,00,000"
Bhasin Decorators,"Kalkaji, Delhi","5,00,000"
