Planner Name,Planner Location,Price
Shubh Event Planner,"Anand Parbat, Delhi","5,00,000"
Diy Celebrations,"Anand Parbat, Delhi","1,00,000"
The Gold Star Events,"Anand Parbat, Delhi","1,00,000"
