Planner Name,Planner Location,Price
Sri Balaji Events,"Vadapalani, Chennai","3,00,000"
The Wedding Vish,"Vadapalani, Chennai","1,00,000"
Murali K Chinthala,"Vadapalani, Chennai","5,00,000"
Vasma Events,"Vadapalani, Chennai","2,00,000"
Sai Events,"Vadapalani, Chennai","1,00,000"
MS Flowers Events,"Vadapalani, Chennai","1,00,000"
