Planner Name,Planner Location,Price
Vivawed,"Bangalore, Bangalore","5,00,000"
Bliss Events and Production,"Bangalore, Bangalore","50,000"
Vaatika Events,"Bangalore, Bangalore","1,50,000"
Ekathva Media,"Bangalore, Bangalore","1,00,000"
ANS Events and Caterers,"Bangalore, Bangalore","5,00,000"
Happyy Happens Decorator,"Bangalore, Bangalore","8,00,000"
SR Events,"Bangalore, Bangalore",600
Jc Media,"Bangalore, Bangalore","50,000"
Deebash Events,"Bangalore, Bangalore","5,00,000"
Life Touch Events,"Bangalore, Bangalore","25,000"
SR Events,"Bangalore, Bangalore","2,00,000"
Dream Planet Events,"Bangalore, Bangalore","5,00,000"
The Function Junctionz,"Bangalore, Bangalore","4,99,999"
Enzid Events,"Bangalore, Bangalore","1,00,000"
BuzzyBee Events,"Bangalore, Bangalore","75,000"
Spike Events,"Bangalore, Bangalore","10,00,000"
The Perfect Affair,"Bangalore, Bangalore","40,000"
Eventz Aide,"Bangalore, Bangalore","1,50,000"
DESIRE UR DREAMS,"Bangalore, Bangalore","1,00,000"
The Classy Affairs Event Planner,"Bangalore, Bangalore","7,000"
Swarsh Events,"Bangalore, Bangalore","1,00,000"
Box of Idea Event And Entertainment,"Bangalore, Bangalore","5,00,000"
All About Baraat,"Bangalore, Bangalore","25,000"
SLN Events,"Bangalore, Bangalore","4,00,000"
