Planner Name,Planner Location,Price
AI PRODUCTIONS,"Alipore, Kolkata","10,00,000"
WoWmantic Events,"Alipore, Kolkata","3,00,000"
Jonaki Event,"Alipore, Kolkata","1,00,000"
Musu Decor,"Alipore, Kolkata","15,000"
