Planner Name,Planner Location,Price
Bride & Baraat,"Vashi, Navi Mumbai","2,00,000"
Mr and Mrs Forever,"Vashi, Navi Mumbai","1,50,000"
Wedding Destination,"Vashi, Navi Mumbai","2,00,000"
