Planner Name,Planner Location,Price
TeamA Events,"Lower Parel, Mumbai","2,00,000"
Weddfeels,"Lower Parel, Mumbai","1,50,000"
Mr.M Event,"Lower Parel, Mumbai","2,00,000"
