Artist Name,Artist Location,Price
Saidharsh Makeovers,"Vadavalli, Coimbatore","15,000"
Sunaina Makeover,"Vadavalli, Coimbatore","15,000"
Abishree Beauty Parlour,"Vadavalli, Coimbatore","10,000"
Keshikaa Beauty Studio,"Vadavalli, Coimbatore","8,000"
