Artist Name,Artist Location,Price
Sridevi Marati Makeup Artist,"Ranga Reddy, Hyderabad","15,000"
Make-up By Rimani Mahajan,"Mayur Vihar, Delhi","22,000"
Makeover by Neelam,"Mayur Vihar, Delhi","10,000"
Shalini's Makeover Makeup Artist,"Mayur Vihar, Delhi","10,000"
Wob Makeup Studio,"Mayur Vihar, Delhi","8,000"
Sunil Makeover,"Mayur Vihar, Delhi","25,000"
Nidhi Makeovers,"Mayur Vihar, Delhi","15,000"
Yamini's Revamp,"Mayur Vihar, Delhi","10,000"
Shabnam Abbasi Makeup Artist,"Mayur Vihar, Delhi","20,000"
Aptmakeover,"Mayur Vihar, Delhi","12,000"
Blush & Lashes by Neha,"Mayur Vihar, Delhi","12,000"
Kanika Makeover,"Mayur Vihar, Delhi","20,000"
Soni Makeup Artist,"Mayur Vihar, Delhi","15,000"
Vibrant Makeup by Priyanka,"Mayur Vihar, Delhi","6,000"
Geetanjali Makeover,"Mayur Vihar, Delhi","10,000"
Lalita Makeovers 88,"Mayur Vihar, Delhi","10,000"
Roshni makeovers,"Mayur Vihar, Delhi","15,000"
Parniras Makeup Studio,"Pashan, Pune","10,000"
Miracle Makeovers,"Padmanabha Nagar, Bangalore","8,000"
Meghana Makeovers,"Padmanabha Nagar, Bangalore","9,000"
Makeover By Anaga,"Padmanabha Nagar, Bangalore","15,000"
Beautygram by Nidhi,"Padmanabha Nagar, Bangalore","8,000"
Madhusanku Makeup artist,"Poranki, Vijayawada","12,000"
Raj Rani Makeovers,"College Street, Kolkata","10,000"
Mua Vaishali,"Inderlok, Delhi","13,000"
Gianika Makeovers,"Inderlok, Delhi","12,000"
Lavish Salon Academy,"Nangloi, Delhi Ncr","20,000"
Rajni Mehra Makeup Artist,"Nangloi, Delhi Ncr","6,000"
Riya Salmani Makeovers,"Nangloi, Delhi Ncr","15,000"
Rajni Makeover,"Nangloi, Delhi Ncr","10,000"
Makeup by Vinee,"Nangloi, Delhi Ncr","8,999"
Ruby Sharma Makeovers,"Nangloi, Delhi Ncr","8,500"
Shivanya Makeovers,"Nangloi, Delhi Ncr","7,999"
Ahuja’s Touch,"Nangloi, Delhi Ncr","8,000"
