Photographer Name,Photographer Location,Price
Samigraphy Weddings,"Barasat, Kolkata","40,000"
Avi's Click,"Barasat, Kolkata","24,000"
Wedfiesta Photography,"Barasat, Kolkata","40,000"
Jalchobi Photography,"Barasat, Kolkata","26,000"
RDX Photography,"Barasat, Kolkata","10,000"
DS Photography,"Barasat, Kolkata","4,500"
Survo Photography,"Barasat, Kolkata","10,000"
Niharika Photography,"Barasat, Kolkata","33,000"
Frame Creator Photography,"Barasat, Kolkata","20,000"
Moments Maker Photography and Films,"Barasat, Kolkata","10,000"
