Photographer Name,Photographer Location,Price
Aruna Studios,"Barkatpura, Hyderabad","1,05,000"
Video Times,"Barkatpura, Hyderabad","32,000"
Nithin Clicks,"Barkatpura, Hyderabad","50,000"
MS Photography,"Barkatpura, Hyderabad","22,000"
Manis Vision,"Barkatpura, Hyderabad","40,000"
SP Photography,"Barkatpura, Hyderabad","20,000"
Pixeltales Studios,"Barkatpura, Hyderabad","40,000"
