Photographer Name,Photographer Location,Price
Jayanthi Photography,"Mylapore, Chennai","80,000"
Nishan Photography,"Mylapore, Chennai","12,000"
Code Red Weddings,"Mylapore, Chennai","40,000"
Moonstruck Weddings,"Mylapore, Chennai","80,000"
Life & Lights Photography,"Mylapore, Chennai","27,000"
Madras Nizharpada Company,"Mylapore, Chennai","50,000"
P2Click,"Mylapore, Chennai","30,000"
Nandhini Video,"Mylapore, Chennai","35,000"
Candy Click Photography,"Mylapore, Chennai","20,000"
