Photographer Name,Photographer Location,Price
Studio G Films Wedding Company,"Attukal, Thiruvananthapuram","23,000"
Wedding Times Photography,"Attukal, Thiruvananthapuram","27,000"
Primelens Wedding,"Attukal, Thiruvananthapuram","50,000"
